;Catchment 1;;;Catchment 2;;;Catchment 3;;
Date;P;EP;Q;P;EP;Q;P;ETP;Q
;[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d];[mm/d]
02/10/2001;2,5;1,1;0,1;1,75;1,54;0,1;1,25;2,09;0,1
03/10/2001;0;1,4;0,29;0;1,96;0,29;0;2,66;0,29
04/10/2001;0,5;0,9;0,08;0,35;1,26;0,08;0,25;1,71;0,08
05/10/2001;3,5;0,7;0,06;2,45;0,98;0,06;1,75;1,33;0,06
06/10/2001;7;1,4;0,06;4,9;1,96;0,06;3,5;2,66;0,06
07/10/2001;15,5;0,7;0,1;10,85;0,98;0,1;7,75;1,33;0,1
08/10/2001;1,5;1,4;0,46;1,05;1,96;0,46;0,75;2,66;0,46
09/10/2001;0,5;1,1;0,21;0,35;1,54;0,21;0,25;2,09;0,21
10/10/2001;0;1,1;0,13;0;1,54;0,13;0;2,09;0,13
11/10/2001;0;1;0,07;0;1,4;0,07;0;1,9;0,07
12/10/2001;0;1,3;0,06;0;1,82;0,06;0;2,47;0,06
13/10/2001;0;1;0,05;0;1,4;0,05;0;1,9;0,05
14/10/2001;6;0,9;0,06;4,2;1,26;0,06;3;1,71;0,06
15/10/2001;0,5;1;0,07;0,35;1,4;0,07;0,25;1,9;0,07
16/10/2001;0;0,2;0,06;0;0,28;0,06;0;0,38;0,06
17/10/2001;1,5;0,9;0,04;1,05;1,26;0,04;0,75;1,71;0,04
18/10/2001;1,5;1;0,03;1,05;1,4;0,03;0,75;1,9;0,03
19/10/2001;1;1;0,03;0,7;1,4;0,03;0,5;1,9;0,03
20/10/2001;0;0,8;0,04;0;1,12;0,04;0;1,52;0,04
21/10/2001;4,5;0,6;0,04;3,15;0,84;0,04;2,25;1,14;0,04
22/10/2001;13;0;0,04;9,1;0;0,04;6,5;0;0,04
23/10/2001;1;0,9;0,35;0,7;1,26;0,35;0,5;1,71;0,35
24/10/2001;3,5;0,5;0,26;2,45;0,7;0,26;1,75;0,95;0,26
25/10/2001;0;0,6;0,1;0;0,84;0,1;0;1,14;0,1
26/10/2001;4,5;0,5;0,11;3,15;0,7;0,11;2,25;0,95;0,11
27/10/2001;0;0,4;0,11;0;0,56;0,11;0;0,76;0,11
28/10/2001;0;0,8;0,07;0;1,12;0,07;0;1,52;0,07
29/10/2001;0;0,3;0,09;0;0,42;0,09;0;0,57;0,09
30/10/2001;0;0,7;0,12;0;0,98;0,12;0;1,33;0,12
31/10/2001;0;0,8;0,12;0;1,12;0,12;0;1,52;0,12
01/11/2001;0;0,3;0,08;0;0,42;0,08;0;0,57;0,08
02/11/2001;0;0,3;0,06;0;0,42;0,06;0;0,57;0,06
03/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
04/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
05/11/2001;0;0,4;0,05;0;0,56;0,05;0;0,76;0,05
06/11/2001;3;0;0,05;2,1;0;0,05;1,5;0;0,05
07/11/2001;2;0,6;0,05;1,4;0,84;0,05;1;1,14;0,05
08/11/2001;8,5;0,6;0,03;5,95;0,84;0,03;4,25;1,14;0,03
09/11/2001;0,5;0,5;0,05;0,35;0,7;0,05;0,25;0,95;0,05
10/11/2001;0;0,1;0,05;0;0,14;0,05;0;0,19;0,05
11/11/2001;0;0,1;0,04;0;0,14;0,04;0;0,19;0,04
12/11/2001;1;0,5;0,04;0,7;0,7;0,04;0,5;0,95;0,04
13/11/2001;0;0,9;0,04;0;1,26;0,04;0;1,71;0,04
14/11/2001;1,5;0,1;0,04;1,05;0,14;0,04;0,75;0,19;0,04
15/11/2001;0;0,2;0,03;0;0,28;0,03;0;0,38;0,03
16/11/2001;0;0,7;0,02;0;0,98;0,02;0;1,33;0,02
17/11/2001;0;0,2;0,02;0;0,28;0,02;0;0,38;0,02
18/11/2001;0;0;0,02;0;0;0,02;0;0;0,02
19/11/2001;0;0,4;0,02;0;0,56;0,02;0;0,76;0,02
20/11/2001;0;0;0,02;0;0;0,02;0;0;0,02
21/11/2001;0;0;0,01;0;0;0,01;0;0;0,01
22/11/2001;1,5;0;0,01;1,05;0;0,01;0,75;0;0,01
23/11/2001;0,5;0,2;0;0,35;0,28;0;0,25;0,38;0
24/11/2001;3;0,2;0;2,1;0,28;0;1,5;0,38;0
25/11/2001;6;0;0,01;4,2;0;0,01;3;0;0,01
26/11/2001;0,5;0;0,01;0,35;0;0,01;0,25;0;0,01
27/11/2001;3;0;0,02;2,1;0;0,02;1,5;0;0,02
28/11/2001;1;0;0,02;0,7;0;0,02;0,5;0;0,02
29/11/2001;12,5;0;0,01;8,75;0;0,01;6,25;0;0,01
30/11/2001;23;0,4;0,11;16,1;0,56;0,11;11,5;0,76;0,11
01/12/2001;0;0;0,27;0;0;0,27;0;0;0,27
02/12/2001;6,5;0;0,79;4,55;0;0,79;3,25;0;0,79
03/12/2001;1,5;0;0,55;1,05;0;0,55;0,75;0;0,55
04/12/2001;0;0,1;0,5;0;0,14;0,5;0;0,19;0,5
05/12/2001;0,5;0;0,46;0,35;0;0,46;0,25;0;0,46
06/12/2001;0;0,1;0,21;0;0,14;0,21;0;0,19;0,21
07/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
08/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
09/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
10/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
11/12/2001;0;0;0,04;0;0;0,04;0;0;0,04
12/12/2001;0;0;0,06;0;0;0,06;0;0;0,06
13/12/2001;0;0;0,06;0;0;0,06;0;0;0,06
14/12/2001;0;0,1;0,06;0;0,14;0,06;0;0,19;0,06
15/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
16/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
17/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
18/12/2001;0;0;0,05;0;0;0,05;0;0;0,05
19/12/2001;0;0;0,03;0;0;0,03;0;0;0,03
20/12/2001;0;0;0,02;0;0;0,02;0;0;0,02
21/12/2001;2;0;0,02;1,4;0;0,02;1;0;0,02
22/12/2001;0;0,1;0,02;0;0,14;0,02;0;0,19;0,02
23/12/2001;0;0;0,02;0;0;0,02;0;0;0,02
24/12/2001;3;0;0,02;2,1;0;0,02;1,5;0;0,02
25/12/2001;2,5;0,6;0,02;1,75;0,84;0,02;1,25;1,14;0,02
26/12/2001;0;0;0,04;0;0;0,04;0;0;0,04
27/12/2001;2,5;0;0,04;1,75;0;0,04;1,25;0;0,04
28/12/2001;32;0,2;0,04;22,4;0,28;0,04;16;0,38;0,04
29/12/2001;17,5;0,3;0,17;12,25;0,42;0,17;8,75;0,57;0,17
30/12/2001;0;0;1,38;0;0;1,38;0;0;1,38
31/12/2001;0;0;0,48;0;0;0,48;0;0;0,48
01/01/2002;0;0,6;0,43;0;0,84;0,43;0;1,14;0,43
02/01/2002;0;0,7;0,42;0;0,98;0,42;0;1,33;0,42
03/01/2002;0;0;0,26;0;0;0,26;0;0;0,26
04/01/2002;0;0;0,14;0;0;0,14;0;0;0,14
05/01/2002;0;0;0,14;0;0;0,14;0;0;0,14
06/01/2002;0;0;0,12;0;0;0,12;0;0;0,12
07/01/2002;0,5;0;0,12;0,35;0;0,12;0,25;0;0,12
08/01/2002;0;0,1;0,12;0;0,14;0,12;0;0,19;0,12
09/01/2002;0;0;0,12;0;0;0,12;0;0;0,12
10/01/2002;6;0;0,09;4,2;0;0,09;3;0;0,09
11/01/2002;0;0;0,12;0;0;0,12;0;0;0,12
12/01/2002;2,5;0;0,14;1,75;0;0,14;1,25;0;0,14
13/01/2002;0;0,1;0,14;0;0,14;0,14;0;0,19;0,14
14/01/2002;13;0;0,16;9,1;0;0,16;6,5;0;0,16
15/01/2002;0;0,1;0,15;0;0,14;0,15;0;0,19;0,15
16/01/2002;0,5;0;0,32;0,35;0;0,32;0,25;0;0,32
17/01/2002;2;0,3;0,21;1,4;0,42;0,21;1;0,57;0,21
18/01/2002;10;0;0,14;7;0;0,14;5;0;0,14
19/01/2002;0;0;0,2;0;0;0,2;0;0;0,2
20/01/2002;1;0,3;0,22;0,7;0,42;0,22;0,5;0,57;0,22
21/01/2002;5;0,2;0,15;3,5;0,28;0,15;2,5;0,38;0,15
22/01/2002;4,5;0,2;0,15;3,15;0,28;0,15;2,25;0,38;0,15
23/01/2002;2,5;0,7;0,17;1,75;0,98;0,17;1,25;1,33;0,17
24/01/2002;0,5;0,9;0,15;0,35;1,26;0,15;0,25;1,71;0,15
25/01/2002;8,5;0;0,14;5,95;0;0,14;4,25;0;0,14
26/01/2002;12,5;0,5;0,22;8,75;0,7;0,22;6,25;0,95;0,22
27/01/2002;2,5;0,3;0,25;1,75;0,42;0,25;1,25;0,57;0,25
28/01/2002;0;0,2;0,51;0;0,28;0,51;0;0,38;0,51
29/01/2002;0;0,3;0,28;0;0,42;0,28;0;0,57;0,28
30/01/2002;0,5;0,4;0,28;0,35;0,56;0,28;0,25;0,76;0,28
31/01/2002;6,5;0;0,26;4,55;0;0,26;3,25;0;0,26
01/02/2002;0;0,7;0,28;0;0,98;0,28;0;1,33;0,28
02/02/2002;0;1,3;0,31;0;1,82;0,31;0;2,47;0,31
03/02/2002;16,5;0,5;0,27;11,55;0,7;0,27;8,25;0,95;0,27
04/02/2002;25,5;0;0,44;17,85;0;0,44;12,75;0;0,44
05/02/2002;5;0,5;0,68;3,5;0,7;0,68;2,5;0,95;0,68
06/02/2002;0,5;0,9;1,06;0,35;1,26;1,06;0,25;1,71;1,06
07/02/2002;4;0;0,49;2,8;0;0,49;2;0;0,49
08/02/2002;2,5;0,4;0,43;1,75;0,56;0,43;1,25;0,76;0,43
09/02/2002;0,5;0,5;0,49;0,35;0,7;0,49;0,25;0,95;0,49
10/02/2002;0,5;0,4;0,5;0,35;0,56;0,5;0,25;0,76;0,5
11/02/2002;1;0,6;0,5;0,7;0,84;0,5;0,5;1,14;0,5
12/02/2002;3,5;0,4;0,5;2,45;0,56;0,5;1,75;0,76;0,5
13/02/2002;5,5;0,6;0,5;3,85;0,84;0,5;2,75;1,14;0,5
14/02/2002;0;1,1;0,5;0;1,54;0,5;0;2,09;0,5
15/02/2002;0;1,1;0,53;0;1,54;0,53;0;2,09;0,53
16/02/2002;0;1,1;0,57;0;1,54;0,57;0;2,09;0,57
17/02/2002;1;0,4;0,57;0,7;0,56;0,57;0,5;0,76;0,57
18/02/2002;0;0,7;0,57;0;0,98;0,57;0;1,33;0,57
19/02/2002;4,5;0,4;0,57;3,15;0,56;0,57;2,25;0,76;0,57
20/02/2002;18;1,5;0,57;12,6;2,1;0,57;9;2,85;0,57
21/02/2002;0,5;0,9;1,06;0,35;1,26;1,06;0,25;1,71;1,06
22/02/2002;2;0,5;0,81;1,4;0,7;0,81;1;0,95;0,81
23/02/2002;0;1,6;0,81;0;2,24;0,81;0;3,04;0,81
24/02/2002;1;0,5;0,77;0,7;0,7;0,77;0,5;0,95;0,77
25/02/2002;7,5;0,5;0,75;5,25;0,7;0,75;3,75;0,95;0,75
26/02/2002;3,5;1,2;0,75;2,45;1,68;0,75;1,75;2,28;0,75
27/02/2002;8;0,9;0,69;5,6;1,26;0,69;4;1,71;0,69
28/02/2002;4,5;1,4;0,67;3,15;1,96;0,67;2,25;2,66;0,67
01/03/2002;3,5;0,4;0,75;2,45;0,56;0,75;1,75;0,76;0,75
02/03/2002;0;1,7;0,75;0;2,38;0,75;0;3,23;0,75
03/03/2002;0;0,8;0,7;0;1,12;0,7;0;1,52;0,7
04/03/2002;0;1,1;0,67;0;1,54;0,67;0;2,09;0,67
05/03/2002;0;1;0,66;0;1,4;0,66;0;1,9;0,66
06/03/2002;0;0,9;0,67;0;1,26;0,67;0;1,71;0,67
07/03/2002;0;1;0,62;0;1,4;0,62;0;1,9;0,62
08/03/2002;0;0,6;0,55;0;0,84;0,55;0;1,14;0,55
09/03/2002;0;1,8;0,62;0;2,52;0,62;0;3,42;0,62
10/03/2002;0;0,7;0,66;0;0,98;0,66;0;1,33;0,66
11/03/2002;0;1,1;0,65;0;1,54;0,65;0;2,09;0,65
12/03/2002;0;0,9;0,65;0;1,26;0,65;0;1,71;0,65
13/03/2002;0,5;1,4;0,65;0,35;1,96;0,65;0,25;2,66;0,65
14/03/2002;14,5;0,2;0,68;10,15;0,28;0,68;7,25;0,38;0,68
15/03/2002;2;1,1;0,79;1,4;1,54;0,79;1;2,09;0,79
16/03/2002;0,5;1,2;0,77;0,35;1,68;0,77;0,25;2,28;0,77
17/03/2002;9;0,8;0,72;6,3;1,12;0,72;4,5;1,52;0,72
18/03/2002;25,5;0,3;0,71;17,85;0,42;0,71;12,75;0,57;0,71
19/03/2002;0;0,6;1,4;0;0,84;1,4;0;1,14;1,4
20/03/2002;0;0,8;1,25;0;1,12;1,25;0;1,52;1,25
21/03/2002;3;1,2;0,83;2,1;1,68;0,83;1,5;2,28;0,83
22/03/2002;0;0,8;0,71;0;1,12;0,71;0;1,52;0,71
23/03/2002;0;1,8;0,71;0;2,52;0,71;0;3,42;0,71
24/03/2002;0;2;0,7;0;2,8;0,7;0;3,8;0,7
25/03/2002;0;2,2;0,7;0;3,08;0,7;0;4,18;0,7
26/03/2002;0;2,3;0,68;0;3,22;0,68;0;4,37;0,68
27/03/2002;0;2,3;0,61;0;3,22;0,61;0;4,37;0,61
28/03/2002;0;2,7;0,57;0;3,78;0,57;0;5,13;0,57
29/03/2002;0;2,5;0,5;0;3,5;0,5;0;4,75;0,5
30/03/2002;0;1,6;0,46;0;2,24;0,46;0;3,04;0,46
31/03/2002;0;1,2;0,46;0;1,68;0,46;0;2,28;0,46
01/04/2002;0;1,8;0,46;0;2,52;0,46;0;3,42;0,46
02/04/2002;5,5;1,5;0,45;3,85;2,1;0,45;2,75;2,85;0,45
03/04/2002;2,5;1,4;0,44;1,75;1,96;0,44;1,25;2,66;0,44
04/04/2002;0;1,9;0,38;0;2,66;0,38;0;3,61;0,38
05/04/2002;0;1,8;0,32;0;2,52;0,32;0;3,42;0,32
06/04/2002;0;3,7;0,31;0;5,18;0,31;0;7,03;0,31
07/04/2002;4;2,6;0,31;2,8;3,64;0,31;2;4,94;0,31
08/04/2002;0;4,1;0,29;0;5,74;0,29;0;7,79;0,29
09/04/2002;0;4,1;0,32;0;5,74;0,32;0;7,79;0,32
10/04/2002;0;3,9;0,36;0;5,46;0,36;0;7,41;0,36
11/04/2002;0;4,4;0,34;0;6,16;0,34;0;8,36;0,34
12/04/2002;0;4;0,33;0;5,6;0,33;0;7,6;0,33
13/04/2002;0;2,8;0,33;0;3,92;0,33;0;5,32;0,33
14/04/2002;0;2,4;0,33;0;3,36;0,33;0;4,56;0,33
15/04/2002;0;3,1;0,32;0;4,34;0,32;0;5,89;0,32
16/04/2002;0;1,7;0,29;0;2,38;0,29;0;3,23;0,29
17/04/2002;4;1,6;0,28;2,8;2,24;0,28;2;3,04;0,28
18/04/2002;0,5;2,5;0,28;0,35;3,5;0,28;0,25;4,75;0,28
19/04/2002;0;1,8;0,22;0;2,52;0,22;0;3,42;0,22
20/04/2002;0;2,5;0,21;0;3,5;0,21;0;4,75;0,21
21/04/2002;0;3,5;0,21;0;4,9;0,21;0;6,65;0,21
22/04/2002;0;3,8;0,21;0;5,32;0,21;0;7,22;0,21
23/04/2002;0;4,3;0,2;0;6,02;0,2;0;8,17;0,2
24/04/2002;0;3,9;0,16;0;5,46;0,16;0;7,41;0,16
25/04/2002;0;3,5;0,13;0;4,9;0,13;0;6,65;0,13
26/04/2002;3;3,4;0,02;2,1;4,76;0,02;1,5;6,46;0,02
27/04/2002;6;2,5;0;4,2;3,5;0;3;4,75;0
28/04/2002;1;3,9;0;0,7;5,46;0;0,5;7,41;0
29/04/2002;0;4,3;0;0;6,02;0;0;8,17;0
30/04/2002;10,5;2,1;0,02;7,35;2,94;0,02;5,25;3,99;0,02
01/05/2002;2,5;3,9;0,38;1,75;5,46;0,38;1,25;7,41;0,38
02/05/2002;0;2,3;0,45;0;3,22;0,45;0;4,37;0,45
03/05/2002;0;3,8;0,34;0;5,32;0,34;0;7,22;0,34
04/05/2002;1;3,2;0,24;0,7;4,48;0,24;0,5;6,08;0,24
05/05/2002;0;3,1;0,23;0;4,34;0,23;0;5,89;0,23
06/05/2002;0;2,1;0,23;0;2,94;0,23;0;3,99;0,23
07/05/2002;0;4,1;0,22;0;5,74;0,22;0;7,79;0,22
08/05/2002;0;3,9;0,21;0;5,46;0,21;0;7,41;0,21
09/05/2002;0;3,7;0,13;0;5,18;0,13;0;7,03;0,13
10/05/2002;0;4,7;0,14;0;6,58;0,14;0;8,93;0,14
11/05/2002;3;2,7;0,13;2,1;3,78;0,13;1,5;5,13;0,13
12/05/2002;13;3,3;0,1;9,1;4,62;0,1;6,5;6,27;0,1
13/05/2002;5;2;0,14;3,5;2,8;0,14;2,5;3,8;0,14
14/05/2002;0;4;0,21;0;5,6;0,21;0;7,6;0,21
15/05/2002;0;5;0,19;0;7;0,19;0;9,5;0,19
16/05/2002;4,5;5,2;0,14;3,15;7,28;0,14;2,25;9,88;0,14
17/05/2002;20;1,5;0,13;14;2,1;0,13;10;2,85;0,13
18/05/2002;2;3,5;0,29;1,4;4,9;0,29;1;6,65;0,29
19/05/2002;0,5;2;0,17;0,35;2,8;0,17;0,25;3,8;0,17
20/05/2002;2;2;0,14;1,4;2,8;0,14;1;3,8;0,14
21/05/2002;18;1,1;0,01;12,6;1,54;0,01;9;2,09;0,01
22/05/2002;0,5;4,5;0;0,35;6,3;0;0,25;8,55;0
23/05/2002;22;4,1;0;15,4;5,74;0;11;7,79;0
24/05/2002;3;4,5;0;2,1;6,3;0;1,5;8,55;0
25/05/2002;6;3,8;0;4,2;5,32;0;3;7,22;0
26/05/2002;15;3,9;0;10,5;5,46;0;7,5;7,41;0
27/05/2002;11,5;3,4;0;8,05;4,76;0;5,75;6,46;0
28/05/2002;0,5;4,5;0;0,35;6,3;0;0,25;8,55;0
29/05/2002;0;4,8;0;0;6,72;0;0;9,12;0
30/05/2002;0;4,3;0,08;0;6,02;0,08;0;8,17;0,08
31/05/2002;0;5,3;0,12;0;7,42;0,12;0;10,07;0,12
01/06/2002;0;6,4;0,11;0;8,96;0,11;0;12,16;0,11
02/06/2002;0;3;0,11;0;4,2;0,11;0;5,7;0,11
03/06/2002;20;3,8;0,12;14;5,32;0,12;10;7,22;0,12
04/06/2002;28,5;3,55;0,12;19,95;4,97;0,12;14,25;6,75;0,12
05/06/2002;0;3,3;0,15;0;4,62;0,15;0;6,27;0,15
06/06/2002;0;4,4;0;0;6,16;0;0;8,36;0
07/06/2002;32;1,8;0;22,4;2,52;0;16;3,42;0
08/06/2002;1,5;1,8;0,59;1,05;2,52;0,59;0,75;3,42;0,59
09/06/2002;10;3,3;0,38;7;4,62;0,38;5;6,27;0,38
10/06/2002;5,5;2,7;0,43;3,85;3,78;0,43;2,75;5,13;0,43
11/06/2002;10,5;1,1;0,3;7,35;1,54;0,3;5,25;2,09;0,3
12/06/2002;0,5;1,67;0,4;0,35;2,34;0,4;0,25;3,17;0,4
13/06/2002;0,5;2,24;0,41;0,35;3,14;0,41;0,25;4,26;0,41
14/06/2002;0;2,81;0,31;0;3,93;0,31;0;5,34;0,31
15/06/2002;2;3,39;0,31;1,4;4,75;0,31;1;6,44;0,31
16/06/2002;0;3,96;0,31;0;5,54;0,31;0;7,52;0,31
17/06/2002;0;4,53;0,31;0;6,34;0,31;0;8,61;0,31
18/06/2002;0;5,1;0,31;0;7,14;0,31;0;9,69;0,31
19/06/2002;0;5,2;0,28;0;7,28;0,28;0;9,88;0,28
20/06/2002;0;4,7;0,28;0;6,58;0,28;0;8,93;0,28
21/06/2002;2;3,3;0,28;1,4;4,62;0,28;1;6,27;0,28
22/06/2002;0;3,4;0,26;0;4,76;0,26;0;6,46;0,26
23/06/2002;0;5,1;0,23;0;7,14;0,23;0;9,69;0,23
24/06/2002;0,5;6,1;0,23;0,35;8,54;0,23;0,25;11,59;0,23
25/06/2002;0;5,9;0,23;0;8,26;0,23;0;11,21;0,23
26/06/2002;0;6,3;0,22;0;8,82;0,22;0;11,97;0,22
27/06/2002;0;6;0,21;0;8,4;0,21;0;11,4;0,21
28/06/2002;0;6,4;0,2;0;8,96;0,2;0;12,16;0,2
29/06/2002;0;4,8;0,14;0;6,72;0,14;0;9,12;0,14
30/06/2002;0,5;3,4;0;0,35;4,76;0;0,25;6,46;0
01/07/2002;5,5;4,4;0;3,85;6,16;0;2,75;8,36;0
02/07/2002;12;3,3;0;8,4;4,62;0;6;6,27;0
03/07/2002;0;5,3;0;0;7,42;0;0;10,07;0
04/07/2002;11,5;4,7;0;8,05;6,58;0;5,75;8,93;0
05/07/2002;1;2,4;0;0,7;3,36;0;0,5;4,56;0
06/07/2002;0;4,7;0;0;6,58;0;0;8,93;0
07/07/2002;3,5;1,7;0;2,45;2,38;0;1,75;3,23;0
08/07/2002;22;0,9;0;15,4;1,26;0;11;1,71;0
09/07/2002;0,5;4,5;0;0,35;6,3;0;0,25;8,55;0
10/07/2002;0;4,9;0,01;0;6,86;0,01;0;9,31;0,01
11/07/2002;3,5;3,6;0,11;2,45;5,04;0,11;1,75;6,84;0,11
12/07/2002;1;3,3;0,18;0,7;4,62;0,18;0,5;6,27;0,18
13/07/2002;0;4,6;0,18;0;6,44;0,18;0;8,74;0,18
14/07/2002;0;4,6;0,17;0;6,44;0,17;0;8,74;0,17
15/07/2002;0;6;0,16;0;8,4;0,16;0;11,4;0,16
16/07/2002;0;6;0,2;0;8,4;0,2;0;11,4;0,2
17/07/2002;0;6,1;0,28;0;8,54;0,28;0;11,59;0,28
18/07/2002;0;5,1;0,19;0;7,14;0,19;0;9,69;0,19
19/07/2002;0;6;0,14;0;8,4;0,14;0;11,4;0,14
20/07/2002;0;6,1;0,15;0;8,54;0,15;0;11,59;0,15
21/07/2002;0;5,1;0,12;0;7,14;0,12;0;9,69;0,12
22/07/2002;0;5,7;0,11;0;7,98;0,11;0;10,83;0,11
23/07/2002;0,5;3,6;0,11;0,35;5,04;0,11;0,25;6,84;0,11
24/07/2002;0,5;4,6;0,13;0,35;6,44;0,13;0,25;8,74;0,13
25/07/2002;0;1,9;0,11;0;2,66;0,11;0;3,61;0,11
26/07/2002;0;2,9;0,1;0;4,06;0,1;0;5,51;0,1
27/07/2002;0;4,1;0,09;0;5,74;0,09;0;7,79;0,09
28/07/2002;0;3,3;0,09;0;4,62;0,09;0;6,27;0,09
29/07/2002;0;4,1;0,09;0;5,74;0,09;0;7,79;0,09
30/07/2002;1;4,2;0,09;0,7;5,88;0,09;0,5;7,98;0,09
31/07/2002;9;4,2;0,08;6,3;5,88;0,08;4,5;7,98;0,08
01/08/2002;36;2,9;0,08;25,2;4,06;0,08;18;5,51;0,08
02/08/2002;6;2,9;3,35;4,2;4,06;3,35;3;5,51;3,35
03/08/2002;0;3,8;3,08;0;5,32;3,08;0;7,22;3,08
04/08/2002;2;5,1;1,89;1,4;7,14;1,89;1;9,69;1,89
05/08/2002;0,5;3,5;0;0,35;4,9;0;0,25;6,65;0
06/08/2002;0;4,8;0;0;6,72;0;0;9,12;0
07/08/2002;1;2,4;0;0,7;3,36;0;0,5;4,56;0
08/08/2002;22;2,5;0;15,4;3,5;0;11;4,75;0
09/08/2002;0,5;4,9;0;0,35;6,86;0;0,25;9,31;0
10/08/2002;0,5;4,6;0;0,35;6,44;0;0,25;8,74;0
11/08/2002;3,5;1,9;0;2,45;2,66;0;1,75;3,61;0
12/08/2002;0;4,6;0;0;6,44;0;0;8,74;0
13/08/2002;0;3,8;0;0;5,32;0;0;7,22;0
14/08/2002;0;5;0;0;7;0;0;9,5;0
15/08/2002;0;4,6;0;0;6,44;0;0;8,74;0
16/08/2002;0;4,5;0;0;6,3;0;0;8,55;0
17/08/2002;3,5;2,5;0;2,45;3,5;0;1,75;4,75;0
18/08/2002;0,5;2,8;0;0,35;3,92;0;0,25;5,32;0
19/08/2002;0;4,3;0;0;6,02;0;0;8,17;0
20/08/2002;0;4,2;0;0;5,88;0;0;7,98;0
21/08/2002;0;3,3;0;0;4,62;0;0;6,27;0
22/08/2002;0,5;3,7;0;0,35;5,18;0;0,25;7,03;0
23/08/2002;6,5;3,7;0,06;4,55;5,18;0,06;3,25;7,03;0,06
24/08/2002;0,5;3,6;0,18;0,35;5,04;0,18;0,25;6,84;0,18
25/08/2002;0;4,2;0,15;0;5,88;0,15;0;7,98;0,15
26/08/2002;2,5;2,1;0,13;1,75;2,94;0,13;1,25;3,99;0,13
27/08/2002;0,5;3,1;0,13;0,35;4,34;0,13;0,25;5,89;0,13
28/08/2002;0;4,2;0,12;0;5,88;0,12;0;7,98;0,12
29/08/2002;0;2,5;0,11;0;3,5;0,11;0;4,75;0,11
30/08/2002;0;3,6;0,11;0;5,04;0,11;0;6,84;0,11
31/08/2002;0;4,1;0,1;0;5,74;0,1;0;7,79;0,1
01/09/2002;0;3,1;0,1;0;4,34;0,1;0;5,89;0,1
02/09/2002;0;3,5;0,09;0;4,9;0,09;0;6,65;0,09
03/09/2002;0;3,5;0,1;0;4,9;0,1;0;6,65;0,1
04/09/2002;0;2,6;0,09;0;3,64;0,09;0;4,94;0,09
05/09/2002;0;2,8;0,08;0;3,92;0,08;0;5,32;0,08
06/09/2002;5,5;1,9;0,07;3,85;2,66;0,07;2,75;3,61;0,07
07/09/2002;1,5;2,8;0,06;1,05;3,92;0,06;0,75;5,32;0,06
08/09/2002;0;2,6;0,08;0;3,64;0,08;0;4,94;0,08
09/09/2002;3;2,8;0,07;2,1;3,92;0,07;1,5;5,32;0,07
10/09/2002;0;2,8;0,07;0;3,92;0,07;0;5,32;0,07
11/09/2002;0;3,1;0,06;0;4,34;0,06;0;5,89;0,06
12/09/2002;0;3,3;0,05;0;4,62;0,05;0;6,27;0,05
13/09/2002;0;3,4;0,04;0;4,76;0,04;0;6,46;0,04
14/09/2002;0;3,4;0,05;0;4,76;0,05;0;6,46;0,05
15/09/2002;0;3,5;0,05;0;4,9;0,05;0;6,65;0,05
16/09/2002;0;3;0,12;0;4,2;0,12;0;5,7;0,12
17/09/2002;0;3,2;0,09;0;4,48;0,09;0;6,08;0,09
18/09/2002;0;2,1;0,06;0;2,94;0,06;0;3,99;0,06
19/09/2002;0;2,5;0,03;0;3,5;0,03;0;4,75;0,03
20/09/2002;2;2,6;0,03;1,4;3,64;0,03;1;4,94;0,03
21/09/2002;0;3;0,06;0;4,2;0,06;0;5,7;0,06
22/09/2002;0;2,2;0,07;0;3,08;0,07;0;4,18;0,07
23/09/2002;0;2,3;0,06;0;3,22;0,06;0;4,37;0,06
24/09/2002;0;2,4;0,06;0;3,36;0,06;0;4,56;0,06
25/09/2002;0;2,2;0,07;0;3,08;0,07;0;4,18;0,07
26/09/2002;0;2;0,08;0;2,8;0,08;0;3,8;0,08
27/09/2002;0;1,7;0,07;0;2,38;0,07;0;3,23;0,07
28/09/2002;0;2,1;0,06;0;2,94;0,06;0;3,99;0,06
29/09/2002;0;2,2;0,07;0;3,08;0,07;0;4,18;0,07
30/09/2002;1,5;1,1;0,07;1,05;1,54;0,07;0,75;2,09;0,07
01/10/2002;5,5;1,3;0,07;3,85;1,82;0,07;2,75;2,47;0,07
02/10/2002;0;1,3;0,12;0;1,82;0,12;0;2,47;0,12
03/10/2002;0,5;1,9;0,04;0,35;2,66;0,04;0,25;3,61;0,04
04/10/2002;0;1,9;0,02;0;2,66;0,02;0;3,61;0,02
05/10/2002;0;1,6;0,02;0;2,24;0,02;0;3,04;0,02
06/10/2002;0;1,3;0,02;0;1,82;0,02;0;2,47;0,02
07/10/2002;0;1,4;0,02;0;1,96;0,02;0;2,66;0,02
