Weetbach, Germany, pre-deforestation;;;;Weetbach, Germany, post-deforestation;;;
Date;P;EP;Q;Date;P;EP;Q
;[mm/d];[mm/d];[mm/d];;[mm/d];[mm/d];[mm/d]
17/10/2013;4,78;0,84;1,61;19/04/2018;0,18;2,76;0,38
18/10/2013;0,64;1,26;1,70;20/04/2018;0,00;2,53;0,37
19/10/2013;0,00;1,45;1,71;21/04/2018;4,32;2,21;0,69
20/10/2013;4,26;0,96;1,84;22/04/2018;3,12;2,23;0,59
21/10/2013;0,17;1,19;1,96;23/04/2018;2,90;3,31;0,50
22/10/2013;12,08;1,56;2,09;24/04/2018;3,01;2,84;0,44
23/10/2013;7,26;1,11;2,22;25/04/2018;1,57;3,80;0,43
24/10/2013;2,79;0,97;2,36;26/04/2018;1,47;2,57;0,42
25/10/2013;8,70;0,88;2,54;27/04/2018;0,43;2,67;0,44
26/10/2013;1,41;1,13;3,15;28/04/2018;0,18;1,47;0,35
27/10/2013;5,40;1,09;2,90;29/04/2018;1,12;1,42;0,35
28/10/2013;10,86;0,97;3,81;30/04/2018;0,34;1,99;0,36
29/10/2013;1,73;0,87;3,14;01/05/2018;0,34;2,62;0,55
30/10/2013;0,00;0,97;3,03;02/05/2018;1,19;0,69;0,61
31/10/2013;0,00;1,02;2,87;03/05/2018;0,00;3,61;0,46
01/11/2013;9,32;0,43;3,02;04/05/2018;0,00;3,64;0,37
02/11/2013;16,68;0,54;4,88;05/05/2018;0,00;4,89;0,34
03/11/2013;20,86;0,62;6,70;06/05/2018;33,81;2,44;1,25
04/11/2013;13,72;0,48;7,54;07/05/2018;3,84;2,31;3,51
05/11/2013;18,11;0,35;7,96;08/05/2018;12,93;1,68;2,25
06/11/2013;13,62;0,51;9,27;09/05/2018;1,63;2,39;2,48
07/11/2013;30,60;0,49;11,60;10/05/2018;13,67;1,26;2,50
08/11/2013;5,92;0,41;15,32;11/05/2018;2,08;2,25;2,70
09/11/2013;5,09;0,68;14,47;12/05/2018;4,59;1,82;2,32
10/11/2013;5,92;0,26;12,76;13/05/2018;3,18;1,65;2,30
11/11/2013;0,00;0,86;10,46;14/05/2018;0,72;3,62;2,01
12/11/2013;1,62;0,60;9,30;15/05/2018;0,00;1,37;1,78
13/11/2013;0,17;0,52;8,22;16/05/2018;0,00;3,62;1,55
14/11/2013;3,94;0,18;7,32;17/05/2018;0,00;4,85;1,38
15/11/2013;2,26;0,28;6,84;18/05/2018;0,00;4,54;1,24
16/11/2013;0,00;0,63;5,95;19/05/2018;0,00;5,57;1,11
17/11/2013;0,00;0,21;5,54;20/05/2018;0,00;5,27;0,97
18/11/2013;0,17;0,18;5,25;21/05/2018;0,59;2,95;0,95
19/11/2013;4,46;0,21;5,07;22/05/2018;8,46;3,64;1,00
20/11/2013;1,41;0,45;4,97;23/05/2018;0,59;2,50;1,07
21/11/2013;1,51;0,21;4,49;24/05/2018;1,86;2,93;0,90
22/11/2013;1,08;0,11;4,13;25/05/2018;0,00;3,91;0,75
23/11/2013;0,75;0,10;4,23;26/05/2018;3,84;1,54;0,84
24/11/2013;2,05;0,16;4,25;27/05/2018;3,18;1,70;0,92
25/11/2013;1,30;0,17;4,07;28/05/2018;0,00;2,02;0,79
26/11/2013;0,29;0,23;3,84;29/05/2018;0,00;1,76;0,69
27/11/2013;0,00;0,33;3,80;30/05/2018;0,00;3,22;0,65
28/11/2013;0,86;0,20;3,89;31/05/2018;0,00;4,00;0,58
29/11/2013;6,54;0,26;4,12;01/06/2018;0,00;3,37;0,51
30/11/2013;2,47;0,15;4,19;02/06/2018;0,00;3,96;0,46
01/12/2013;0,17;0,36;3,80;03/06/2018;0,00;2,73;0,46
02/12/2013;0,00;0,52;3,61;04/06/2018;10,48;2,21;0,60
03/12/2013;0,00;0,67;3,55;05/06/2018;0,00;2,64;0,71
04/12/2013;2,58;0,16;3,56;06/06/2018;0,00;6,08;0,45
05/12/2013;3,94;0,40;3,72;07/06/2018;0,00;5,58;0,40
06/12/2013;0,00;0,63;3,60;08/06/2018;0,72;5,40;0,37
07/12/2013;4,36;0,24;3,57;09/06/2018;36,44;5,78;0,84
08/12/2013;2,26;0,25;3,69;10/06/2018;4,16;5,40;1,02
09/12/2013;0,00;0,49;3,41;11/06/2018;11,01;4,15;1,08
10/12/2013;0,00;0,67;3,22;12/06/2018;0,00;5,75;0,65
11/12/2013;0,00;0,94;3,14;13/06/2018;0,00;4,71;0,55
12/12/2013;0,00;0,76;2,94;14/06/2018;0,00;2,24;0,55
13/12/2013;0,00;0,51;2,77;15/06/2018;0,00;3,23;0,51
14/12/2013;3,31;0,20;2,86;16/06/2018;0,21;2,28;0,49
15/12/2013;0,75;0,80;2,95;17/06/2018;0,00;2,04;0,47
16/12/2013;0,00;1,69;2,80;18/06/2018;0,00;4,45;0,42
17/12/2013;0,00;1,11;2,77;19/06/2018;0,48;2,57;0,39
18/12/2013;0,00;0,49;2,71;20/06/2018;0,00;1,74;0,38
19/12/2013;11,88;0,37;3,13;21/06/2018;0,00;3,47;0,34
20/12/2013;0,00;0,38;2,75;22/06/2018;0,00;4,06;0,31
21/12/2013;0,75;0,87;2,43;23/06/2018;0,00;5,18;0,28
22/12/2013;10,14;0,33;2,96;24/06/2018;0,00;3,40;0,27
23/12/2013;0,41;0,58;3,05;25/06/2018;0,00;3,22;0,25
24/12/2013;10,86;0,96;3,15;26/06/2018;0,00;4,76;0,23
25/12/2013;8,80;0,36;5,35;27/06/2018;4,48;3,16;0,38
26/12/2013;0,17;0,22;4,19;28/06/2018;12,60;1,52;0,84
27/12/2013;2,68;0,42;4,17;29/06/2018;9,63;2,03;1,22
28/12/2013;17,29;0,29;5,59;30/06/2018;0,21;3,24;0,58
29/12/2013;3,31;0,25;5,20;01/07/2018;0,00;4,67;0,42
30/12/2013;0,00;0,49;5,05;02/07/2018;0,00;5,05;0,36
31/12/2013;0,00;0,82;5,19;03/07/2018;0,00;6,21;0,33
;;;;04/07/2018;0,00;4,43;0,31
;;;;05/07/2018;5,13;1,98;0,37
;;;;06/07/2018;5,24;3,29;0,48
;;;;07/07/2018;0,59;4,16;0,48
;;;;08/07/2018;40,64;0,75;2,83
;;;;09/07/2018;40,44;0,66;7,09
;;;;10/07/2018;3,62;2,70;5,75
;;;;11/07/2018;0,34;3,54;3,86
;;;;12/07/2018;0,21;1,15;2,85
;;;;13/07/2018;6,53;2,56;2,47
;;;;14/07/2018;4,26;2,44;2,15
;;;;15/07/2018;0,00;2,94;1,81
;;;;16/07/2018;0,00;4,49;1,50
;;;;17/07/2018;0,00;4,31;1,23
;;;;18/07/2018;0,00;6,76;1,06
;;;;19/07/2018;0,00;6,56;0,88
;;;;20/07/2018;0,00;4,04;0,80
;;;;21/07/2018;18,00;0,80;3,24
;;;;22/07/2018;0,34;4,27;2,27
;;;;23/07/2018;0,59;5,22;1,82
;;;;24/07/2018;0,00;4,10;1,66
;;;;25/07/2018;0,00;3,44;1,60
;;;;26/07/2018;0,00;3,24;1,51
;;;;27/07/2018;1,07;3,42;1,30
;;;;28/07/2018;6,21;2,89;1,84
;;;;29/07/2018;29,71;1,72;1,60
;;;;30/07/2018;0,21;3,03;11,03
;;;;31/07/2018;0,00;4,84;6,07
;;;;01/08/2018;0,00;4,04;4,88
;;;;02/08/2018;1,52;3,48;4,32
;;;;03/08/2018;19,38;3,42;3,93
;;;;04/08/2018;19,80;2,04;6,25
;;;;05/08/2018;0,00;3,24;5,35
;;;;06/08/2018;11,87;3,59;5,32
;;;;07/08/2018;9,73;2,91;5,66
;;;;08/08/2018;8,24;3,14;5,18
;;;;09/08/2018;11,65;3,12;5,34
;;;;10/08/2018;14,51;2,02;5,76
;;;;11/08/2018;2,08;3,88;5,07
;;;;12/08/2018;7,60;3,49;5,46
;;;;13/08/2018;2,08;1,91;5,32
;;;;14/08/2018;1,75;2,27;5,16
;;;;15/08/2018;6,21;2,11;5,01
;;;;16/08/2018;2,75;2,41;4,63
;;;;17/08/2018;2,08;2,28;4,35
;;;;18/08/2018;0,95;3,17;4,66
;;;;19/08/2018;2,30;1,95;4,31
;;;;20/08/2018;6,10;2,50;3,87
;;;;21/08/2018;0,00;2,85;3,61
;;;;22/08/2018;0,83;2,73;3,39
;;;;23/08/2018;9,63;2,18;3,51
;;;;24/08/2018;0,00;2,56;3,11
;;;;25/08/2018;15,26;1,70;3,33
;;;;26/08/2018;33,60;1,01;6,85
;;;;27/08/2018;0,48;1,85;5,61
;;;;28/08/2018;4,16;2,28;5,65
;;;;29/08/2018;2,52;2,37;5,43
;;;;30/08/2018;5,99;1,81;4,94
;;;;31/08/2018;9,94;1,37;5,24
;;;;01/09/2018;0,00;2,16;4,35
;;;;02/09/2018;0,00;2,87;4,00
;;;;03/09/2018;0,00;2,93;3,87
;;;;04/09/2018;0,00;1,37;3,73
;;;;05/09/2018;0,00;3,13;3,52
;;;;06/09/2018;0,00;1,34;3,31
;;;;07/09/2018;0,00;1,66;3,08
;;;;08/09/2018;0,00;2,25;2,81
;;;;09/09/2018;0,00;2,66;2,59
;;;;10/09/2018;0,00;1,06;2,46
;;;;11/09/2018;0,21;1,56;2,32
;;;;12/09/2018;0,00;2,63;2,11
;;;;13/09/2018;0,00;0,74;2,03
;;;;14/09/2018;0,00;1,10;1,92
;;;;15/09/2018;0,00;1,69;1,74
;;;;16/09/2018;0,00;2,36;1,60
;;;;17/09/2018;0,00;3,38;1,48
;;;;18/09/2018;1,75;1,90;1,86
;;;;19/09/2018;0,21;2,02;1,53
;;;;20/09/2018;29,60;1,55;2,78
;;;;21/09/2018;25,92;0,59;5,58
;;;;22/09/2018;1,07;1,21;3,33
;;;;23/09/2018;0,00;2,30;3,02
;;;;24/09/2018;3,94;1,39;2,95
;;;;25/09/2018;0,59;1,31;2,78
;;;;26/09/2018;0,21;1,58;2,47
;;;;27/09/2018;0,00;1,61;2,31
;;;;28/09/2018;0,00;2,37;2,18
;;;;29/09/2018;3,72;1,42;2,29
;;;;30/09/2018;0,00;1,48;2,16
;;;;01/10/2018;0,00;1,57;1,92
;;;;02/10/2018;0,00;2,00;1,76
;;;;03/10/2018;0,00;2,37;1,69
;;;;04/10/2018;0,18;2,51;1,63
;;;;05/10/2018;0,89;0,38;1,63
;;;;06/10/2018;2,79;1,11;1,65
;;;;07/10/2018;9,05;1,04;1,85
;;;;08/10/2018;18,41;0,65;1,88
;;;;09/10/2018;2,25;0,83;1,93
;;;;10/10/2018;0,78;1,22;1,92
;;;;11/10/2018;0,43;1,25;1,92
;;;;12/10/2018;3,44;1,16;1,97
;;;;13/10/2018;0,00;1,16;1,97
;;;;14/10/2018;0,00;1,90;1,90
;;;;15/10/2018;1,57;1,40;1,89
;;;;16/10/2018;4,75;0,94;2,00
;;;;17/10/2018;8,73;0,92;2,14
;;;;18/10/2018;0,00;1,86;2,04
;;;;19/10/2018;3,66;1,75;2,08
;;;;20/10/2018;0,00;1,00;2,09
;;;;21/10/2018;22,96;0,51;3,30
;;;;22/10/2018;16,08;0,49;3,39
;;;;23/10/2018;0,30;0,61;2,97
;;;;24/10/2018;1,68;0,66;3,09
;;;;25/10/2018;8,62;0,54;3,19
;;;;26/10/2018;0,00;0,93;2,68
;;;;27/10/2018;0,00;1,25;2,52
;;;;28/10/2018;0,00;1,19;2,44
;;;;29/10/2018;0,67;0,36;2,36
;;;;30/10/2018;0,00;0,91;2,26
;;;;31/10/2018;0,00;1,35;2,17
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
