;Catchment 1: Weetbach, Germany;;Catchment 2: Allt Coarie Na Con, Scotland;;;;;;;;;;;;
Date;Precipitation;EP;Precipitation;EP;;;;;;;;;;;
;[mm/d];[mm/d];[mm/d];[mm/d];;;;;;;;;;;
16/04/2011;0,00;2,62;0,05;1,91;;;;;;;;;;;
17/04/2011;0,00;2,73;3,95;2,00;;;;;;;;;;;
18/04/2011;0,00;4,16;0,00;1,65;;;;;;;;;;;
19/04/2011;0,00;3,81;1,00;2,10;;;;;;;;;;;
20/04/2011;0,00;4,64;4,10;2,07;;;;;;;;;;;
21/04/2011;0,00;4,73;6,05;1,54;;;;;;;;;;;
22/04/2011;0,00;4,60;7,02;1,61;;;;;;;;;;;
23/04/2011;0,00;4,33;7,56;1,86;;;;;;;;;;;
24/04/2011;0,00;4,34;0,00;1,89;;;;;;;;;;;
25/04/2011;0,00;4,56;2,00;2,27;;;;;;;;;;;
26/04/2011;0,00;3,43;2,00;2,36;;;;;;;;;;;
27/04/2011;4,15;0,59;2,00;3,12;;;;;;;;;;;
28/04/2011;1,51;1,65;2,00;3,29;;;;;;;;;;;
29/04/2011;0,00;3,26;1,00;2,67;;;;;;;;;;;
30/04/2011;0,69;3,82;0,00;1,94;;;;;;;;;;;
01/05/2011;0,00;3,75;1,00;2,69;;;;;;;;;;;
02/05/2011;0,00;3,62;2,00;2,46;;;;;;;;;;;
03/05/2011;0,00;2,70;1,00;2,39;;;;;;;;;;;
04/05/2011;0,00;2,98;2,00;3,64;;;;;;;;;;;
05/05/2011;0,00;3,81;2,00;4,12;;;;;;;;;;;
06/05/2011;0,00;4,49;0,44;2,49;;;;;;;;;;;
07/05/2011;0,00;5,67;0,29;1,85;;;;;;;;;;;
08/05/2011;0,00;5,75;4,88;2,98;;;;;;;;;;;
09/05/2011;0,00;4,49;2,49;2,63;;;;;;;;;;;
10/05/2011;4,31;3,84;3,32;2,16;;;;;;;;;;;
11/05/2011;5,76;3,58;3,46;2,66;;;;;;;;;;;
12/05/2011;0,00;3,21;2,59;2,79;;;;;;;;;;;
13/05/2011;0,00;3,54;1,56;2,75;;;;;;;;;;;
14/05/2011;0,00;3,24;0,00;2,72;;;;;;;;;;;
15/05/2011;9,56;1,89;2,00;2,87;;;;;;;;;;;
16/05/2011;1,03;1,61;1,00;2,77;;;;;;;;;;;
17/05/2011;0,00;3,32;1,00;3,00;;;;;;;;;;;
18/05/2011;0,00;3,41;2,00;3,28;;;;;;;;;;;
19/05/2011;7,31;2,05;1,00;3,67;;;;;;;;;;;
20/05/2011;1,25;3,03;7,27;4,07;;;;;;;;;;;
21/05/2011;0,00;4,24;7,12;2,51;;;;;;;;;;;
22/05/2011;0,00;3,42;9,66;2,40;;;;;;;;;;;
23/05/2011;0,00;5,04;2,68;2,26;;;;;;;;;;;
24/05/2011;0,00;4,15;1,22;2,43;;;;;;;;;;;
25/05/2011;0,00;5,69;3,41;2,26;;;;;;;;;;;
26/05/2011;0,00;4,80;0,15;2,19;;;;;;;;;;;
27/05/2011;0,00;1,44;3,41;2,60;;;;;;;;;;;
28/05/2011;0,00;3,76;7,37;3,11;;;;;;;;;;;
29/05/2011;0,00;4,25;0,05;2,81;;;;;;;;;;;
30/05/2011;0,00;6,68;1,00;2,86;;;;;;;;;;;
31/05/2011;16,91;0,71;1,00;3,05;;;;;;;;;;;
01/06/2011;0,00;4,05;2,00;2,77;;;;;;;;;;;
02/06/2011;0,00;5,42;1,85;3,29;;;;;;;;;;;
03/06/2011;0,00;4,93;3,80;3,23;;;;;;;;;;;
04/06/2011;0,20;4,75;7,46;2,21;;;;;;;;;;;
05/06/2011;0,00;4,09;2,05;2,78;;;;;;;;;;;
06/06/2011;0,00;3,62;1,22;2,73;;;;;;;;;;;
07/06/2011;25,83;3,03;0,00;2,89;;;;;;;;;;;
08/06/2011;0,00;2,73;1,00;3,26;;;;;;;;;;;
09/06/2011;0,00;2,89;1,00;3,02;;;;;;;;;;;
10/06/2011;0,00;2,46;1,00;2,84;;;;;;;;;;;
11/06/2011;0,00;3,29;1,00;3,56;;;;;;;;;;;
12/06/2011;0,00;3,90;0,10;3,51;;;;;;;;;;;
13/06/2011;0,00;2,23;7,07;3,08;;;;;;;;;;;
14/06/2011;0,00;3,39;4,10;2,45;;;;;;;;;;;
15/06/2011;0,00;2,91;3,22;3,03;;;;;;;;;;;
16/06/2011;0,00;3,11;6,44;2,35;;;;;;;;;;;
17/06/2011;0,00;2,72;1,00;2,89;;;;;;;;;;;
18/06/2011;0,00;2,93;3,85;2,82;;;;;;;;;;;
19/06/2011;0,00;1,71;15,17;2,41;;;;;;;;;;;
20/06/2011;7,72;1,33;3,95;2,58;;;;;;;;;;;
21/06/2011;8,44;2,39;0,49;2,70;;;;;;;;;;;
22/06/2011;13,75;1,71;0,00;2,92;;;;;;;;;;;
23/06/2011;5,76;2,89;0,00;2,98;;;;;;;;;;;
24/06/2011;0,00;2,40;0,00;3,53;;;;;;;;;;;
25/06/2011;0,00;1,11;2,00;3,81;;;;;;;;;;;
26/06/2011;0,00;4,45;6,00;3,86;;;;;;;;;;;
27/06/2011;0,00;6,33;0,24;3,78;;;;;;;;;;;
28/06/2011;0,00;6,41;2,63;3,13;;;;;;;;;;;
29/06/2011;0,69;1,24;4,63;3,01;;;;;;;;;;;
30/06/2011;0,00;3,71;4,83;2,18;;;;;;;;;;;
01/07/2011;0,00;2,98;1,00;2,39;;;;;;;;;;;
02/07/2011;0,00;2,13;0,59;3,23;;;;;;;;;;;
03/07/2011;0,00;4,02;0,20;2,83;;;;;;;;;;;
04/07/2011;0,00;2,73;8,39;3,24;;;;;;;;;;;
05/07/2011;0,00;4,40;1,37;3,21;;;;;;;;;;;
06/07/2011;7,82;4,01;0,20;3,67;;;;;;;;;;;
07/07/2011;0,00;4,40;4,49;2,98;;;;;;;;;;;
08/07/2011;0,00;4,03;0,15;2,83;;;;;;;;;;;
09/07/2011;1,57;3,27;1,32;4,44;;;;;;;;;;;
10/07/2011;1,25;2,94;1,05;5,03;;;;;;;;;;;
11/07/2011;0,00;3,88;2,00;3,15;;;;;;;;;;;
12/07/2011;3,27;3,46;1,00;4,20;;;;;;;;;;;
13/07/2011;4,52;0,87;4,83;3,14;;;;;;;;;;;
14/07/2011;8,23;0,89;3,12;2,65;;;;;;;;;;;
15/07/2011;0,00;4,61;9,07;2,78;;;;;;;;;;;
16/07/2011;12,83;3,73;7,66;2,38;;;;;;;;;;;
17/07/2011;8,54;2,57;1,80;2,35;;;;;;;;;;;
18/07/2011;2,11;2,10;1,07;2,65;;;;;;;;;;;
19/07/2011;0,80;2,39;9,22;2,48;;;;;;;;;;;
20/07/2011;0,20;2,96;9,95;2,62;;;;;;;;;;;
21/07/2011;8,75;1,88;2,34;2,41;;;;;;;;;;;
22/07/2011;0,20;2,00;1,02;2,09;;;;;;;;;;;
23/07/2011;2,53;1,39;14,00;2,64;;;;;;;;;;;
24/07/2011;0,00;1,11;0,49;2,09;;;;;;;;;;;
25/07/2011;0,20;3,08;1,00;2,67;;;;;;;;;;;
26/07/2011;0,00;2,18;0,00;3,20;;;;;;;;;;;
27/07/2011;0,00;1,31;0,00;3,26;;;;;;;;;;;
28/07/2011;0,00;1,54;2,00;3,71;;;;;;;;;;;
29/07/2011;0,00;1,63;2,00;3,60;;;;;;;;;;;
30/07/2011;1,57;0,99;1,00;3,33;;;;;;;;;;;
31/07/2011;0,00;0,96;0,00;3,19;;;;;;;;;;;
01/08/2011;0,00;3,47;1,00;3,62;;;;;;;;;;;
02/08/2011;0,00;5,04;1,00;4,12;;;;;;;;;;;
03/08/2011;0,00;1,52;0,00;3,91;;;;;;;;;;;
04/08/2011;0,00;3,95;1,00;5,62;;;;;;;;;;;
05/08/2011;0,00;3,26;0,00;3,95;;;;;;;;;;;
06/08/2011;5,76;1,81;2,00;3,60;;;;;;;;;;;
07/08/2011;0,20;2,92;1,00;3,33;;;;;;;;;;;
08/08/2011;0,00;1,70;0,00;2,77;;;;;;;;;;;
09/08/2011;0,00;1,83;1,00;3,28;;;;;;;;;;;
10/08/2011;0,00;3,41;1,00;2,83;;;;;;;;;;;
11/08/2011;0,20;3,54;1,00;2,49;;;;;;;;;;;
12/08/2011;0,00;1,71;11,66;4,09;;;;;;;;;;;
13/08/2011;0,00;2,00;4,24;2,54;;;;;;;;;;;
14/08/2011;24,92;1,19;3,61;2,86;;;;;;;;;;;
15/08/2011;0,00;2,97;5,02;2,14;;;;;;;;;;;
16/08/2011;0,00;2,86;14,00;2,60;;;;;;;;;;;
17/08/2011;0,00;3,27;0,34;2,27;;;;;;;;;;;
18/08/2011;18,43;4,14;0,59;2,01;;;;;;;;;;;
19/08/2011;8,44;1,43;0,00;2,61;;;;;;;;;;;
20/08/2011;0,00;4,46;2,00;2,73;;;;;;;;;;;
21/08/2011;1,46;3,37;0,00;2,36;;;;;;;;;;;
22/08/2011;0,20;3,05;1,00;2,35;;;;;;;;;;;
23/08/2011;0,00;3,52;2,00;2,97;;;;;;;;;;;
24/08/2011;0,20;2,43;0,00;3,04;;;;;;;;;;;
25/08/2011;22,00;2,31;6,29;2,43;;;;;;;;;;;
26/08/2011;6,17;2,00;3,46;1,83;;;;;;;;;;;
27/08/2011;12,43;1,50;0,83;1,82;;;;;;;;;;;
28/08/2011;0,20;2,18;0,05;2,21;;;;;;;;;;;
29/08/2011;0,20;2,04;8,29;2,12;;;;;;;;;;;
30/08/2011;0,00;1,69;3,41;1,96;;;;;;;;;;;
31/08/2011;0,00;2,62;2,44;1,52;;;;;;;;;;;
01/09/2011;0,00;3,36;0,54;1,63;;;;;;;;;;;
02/09/2011;0,00;3,31;1,46;1,55;;;;;;;;;;;
03/09/2011;0,00;3,95;0,49;2,03;;;;;;;;;;;
04/09/2011;0,00;1,71;0,49;2,00;;;;;;;;;;;
05/09/2011;0,00;2,03;9,71;2,27;;;;;;;;;;;
06/09/2011;0,00;1,84;6,00;2,32;;;;;;;;;;;
07/09/2011;0,00;1,69;3,80;1,99;;;;;;;;;;;
08/09/2011;0,00;0,82;4,39;2,23;;;;;;;;;;;
09/09/2011;0,00;1,25;1,22;2,52;;;;;;;;;;;
10/09/2011;0,00;3,30;9,80;2,05;;;;;;;;;;;
11/09/2011;8,13;1,08;15,12;1,96;;;;;;;;;;;
12/09/2011;0,57;2,29;2,49;2,29;;;;;;;;;;;
13/09/2011;0,00;1,92;2,73;1,78;;;;;;;;;;;
14/09/2011;0,00;2,22;0,83;1,62;;;;;;;;;;;
15/09/2011;0,00;2,33;6,29;2,09;;;;;;;;;;;
16/09/2011;0,80;2,01;11,07;1,75;;;;;;;;;;;
17/09/2011;3,69;1,70;1,32;1,40;;;;;;;;;;;
18/09/2011;10,89;1,13;0,68;2,17;;;;;;;;;;;
19/09/2011;4,83;1,64;0,68;1,73;;;;;;;;;;;
20/09/2011;0,33;0,88;2,10;1,70;;;;;;;;;;;
21/09/2011;0,00;1,33;1,00;1,86;;;;;;;;;;;
22/09/2011;0,00;1,47;0,39;1,85;;;;;;;;;;;
23/09/2011;0,00;1,98;13,17;1,24;;;;;;;;;;;
24/09/2011;0,00;2,62;5,12;1,66;;;;;;;;;;;
25/09/2011;0,00;2,66;2,00;1,29;;;;;;;;;;;
26/09/2011;0,00;2,34;0,49;1,21;;;;;;;;;;;
27/09/2011;0,00;1,54;1,22;1,29;;;;;;;;;;;
28/09/2011;0,00;2,77;2,29;1,67;;;;;;;;;;;
29/09/2011;0,00;3,10;0,15;1,31;;;;;;;;;;;
30/09/2011;0,00;3,30;5,95;1,71;;;;;;;;;;;
01/10/2011;0,00;2,78;4,54;1,21;;;;;;;;;;;
02/10/2011;0,00;2,64;4,83;1,27;;;;;;;;;;;
03/10/2011;0,00;2,92;2,24;1,17;;;;;;;;;;;
04/10/2011;0,29;1,09;0,73;1,02;;;;;;;;;;;
05/10/2011;1,41;1,04;0,00;1,18;;;;;;;;;;;
06/10/2011;6,85;0,73;7,27;1,07;;;;;;;;;;;
07/10/2011;16,88;0,84;3,37;1,53;;;;;;;;;;;
08/10/2011;12,80;0,57;5,27;1,12;;;;;;;;;;;
09/10/2011;5,29;0,88;5,76;0,88;;;;;;;;;;;
10/10/2011;1,19;1,39;6,54;0,93;;;;;;;;;;;
11/10/2011;5,81;0,65;2,88;1,72;;;;;;;;;;;
12/10/2011;14,13;0,43;0,59;0,81;;;;;;;;;;;
13/10/2011;0,75;0,80;1,17;0,64;;;;;;;;;;;
14/10/2011;0,00;1,73;0,05;0,79;;;;;;;;;;;
15/10/2011;0,00;2,07;1,00;0,97;;;;;;;;;;;
16/10/2011;0,00;1,83;1,00;0,75;;;;;;;;;;;
17/10/2011;0,00;0,84;0,00;0,86;;;;;;;;;;;
18/10/2011;2,79;0,72;2,00;1,11;;;;;;;;;;;
19/10/2011;2,26;1,11;0,00;0,98;;;;;;;;;;;
20/10/2011;0,41;0,88;2,00;1,78;;;;;;;;;;;
21/10/2011;0,00;1,13;0,24;0,89;;;;;;;;;;;
22/10/2011;0,00;1,13;0,98;0,55;;;;;;;;;;;
23/10/2011;0,00;1,36;1,37;0,88;;;;;;;;;;;
24/10/2011;0,17;1,21;0,44;0,72;;;;;;;;;;;
25/10/2011;0,00;1,16;1,12;1,08;;;;;;;;;;;
26/10/2011;0,00;1,30;2,20;0,73;;;;;;;;;;;
27/10/2011;0,00;0,95;13,46;0,49;;;;;;;;;;;
28/10/2011;0,00;1,04;1,02;0,90;;;;;;;;;;;
29/10/2011;0,00;0,74;6,78;0,80;;;;;;;;;;;
30/10/2011;0,17;0,62;13,85;1,63;;;;;;;;;;;
31/10/2011;0,00;0,84;12,34;2,65;;;;;;;;;;;
01/11/2011;0,64;1,05;5,12;0,91;;;;;;;;;;;
02/11/2011;0,41;0,70;1,02;1,03;;;;;;;;;;;
03/11/2011;0,29;1,20;10,05;1,15;;;;;;;;;;;
04/11/2011;0,17;1,30;24,73;0,64;;;;;;;;;;;
05/11/2011;0,00;1,02;0,98;0,64;;;;;;;;;;;
06/11/2011;0,00;0,58;2,49;0,40;;;;;;;;;;;
07/11/2011;0,29;0,16;8,39;0,94;;;;;;;;;;;
08/11/2011;0,00;0,55;0,29;0,39;;;;;;;;;;;
09/11/2011;0,00;1,13;1,00;0,67;;;;;;;;;;;
10/11/2011;0,00;1,13;0,00;0,44;;;;;;;;;;;
11/11/2011;0,00;0,20;1,00;0,62;;;;;;;;;;;
12/11/2011;0,00;0,92;0,00;0,26;;;;;;;;;;;
13/11/2011;0,00;1,03;1,00;0,34;;;;;;;;;;;
14/11/2011;0,00;1,12;2,15;0,36;;;;;;;;;;;
15/11/2011;0,00;1,49;7,56;1,08;;;;;;;;;;;
16/11/2011;0,00;1,28;3,22;0,91;;;;;;;;;;;
17/11/2011;0,00;0,24;0,00;0,52;;;;;;;;;;;
18/11/2011;0,17;0,33;0,00;0,60;;;;;;;;;;;
19/11/2011;0,00;0,75;0,00;0,62;;;;;;;;;;;
20/11/2011;0,00;0,71;0,10;0,34;;;;;;;;;;;
21/11/2011;0,00;0,82;2,39;0,35;;;;;;;;;;;
22/11/2011;0,00;0,53;3,32;0,74;;;;;;;;;;;
23/11/2011;0,00;0,18;13,51;0,86;;;;;;;;;;;
24/11/2011;0,00;0,80;5,66;0,60;;;;;;;;;;;
25/11/2011;0,64;0,75;10,10;0,47;;;;;;;;;;;
26/11/2011;0,00;0,22;6,63;0,95;;;;;;;;;;;
27/11/2011;2,58;0,28;14,59;0,87;;;;;;;;;;;
28/11/2011;0,00;0,53;17,66;0,84;;;;;;;;;;;
29/11/2011;2,68;0,28;17,66;1,25;;;;;;;;;;;
30/11/2011;0,17;0,45;7,41;2,53;;;;;;;;;;;
01/12/2011;9,01;0,27;8,39;1,51;;;;;;;;;;;
02/12/2011;9,52;0,30;12,15;0,92;;;;;;;;;;;
03/12/2011;16,17;0,23;6,59;0,94;;;;;;;;;;;
04/12/2011;23,19;0,25;0,88;0,57;;;;;;;;;;;
05/12/2011;16,00;0,32;13,80;0,84;;;;;;;;;;;
06/12/2011;1,94;0,38;4,39;1,88;;;;;;;;;;;
07/12/2011;27,00;0,49;9,27;1,62;;;;;;;;;;;
08/12/2011;15,00;0,39;12,59;0,57;;;;;;;;;;;
09/12/2011;23,00;0,53;1,22;0,81;;;;;;;;;;;
10/12/2011;0,00;0,42;1,71;0,73;;;;;;;;;;;
11/12/2011;0,17;0,33;1,56;0,42;;;;;;;;;;;
12/12/2011;23,00;0,33;0,00;0,36;;;;;;;;;;;
13/12/2011;21,00;0,33;0,15;0,32;;;;;;;;;;;
14/12/2011;18,82;0,29;0,00;0,80;;;;;;;;;;;
15/12/2011;7,77;0,26;3,46;0,34;;;;;;;;;;;
16/12/2011;54,00;0,18;19,95;0,88;;;;;;;;;;;
17/12/2011;4,36;0,17;0,39;1,13;;;;;;;;;;;
18/12/2011;3,63;0,11;0,34;0,46;;;;;;;;;;;
19/12/2011;2,37;0,18;0,00;0,62;;;;;;;;;;;
20/12/2011;30,00;0,14;6,20;0,52;;;;;;;;;;;
21/12/2011;2,26;0,10;15,56;0,83;;;;;;;;;;;
22/12/2011;9,93;0,11;14,63;0,65;;;;;;;;;;;
23/12/2011;5,40;0,16;23,71;1,18;;;;;;;;;;;
24/12/2011;25,00;0,17;11,32;0,72;;;;;;;;;;;
25/12/2011;13,00;0,14;3,95;1,44;;;;;;;;;;;
26/12/2011;1,30;0,15;4,24;0,56;;;;;;;;;;;
27/12/2011;0,00;0,10;4,00;0,36;;;;;;;;;;;
28/12/2011;11,00;0,13;1,56;0,17;;;;;;;;;;;
29/12/2011;21,00;0,27;7,51;0,42;;;;;;;;;;;
30/12/2011;5,61;0,20;1,66;0,47;;;;;;;;;;;
31/12/2011;11,88;0,22;4,83;0,81;;;;;;;;;;;
01/01/2012;15,97;0,34;3,46;1,04;;;;;;;;;;;
02/01/2012;18,51;0,27;7,32;0,57;;;;;;;;;;;
03/01/2012;15,15;0,34;4,00;0,90;;;;;;;;;;;
04/01/2012;6,33;0,48;20,15;0,80;;;;;;;;;;;
05/01/2012;34,05;0,33;12,93;1,26;;;;;;;;;;;
06/01/2012;9,21;0,19;9,12;0,98;;;;;;;;;;;
07/01/2012;14,54;0,26;10,98;1,11;;;;;;;;;;;
08/01/2012;7,16;0,18;5,71;1,26;;;;;;;;;;;
09/01/2012;4,36;0,15;6,49;0,84;;;;;;;;;;;
10/01/2012;0,00;0,18;5,56;0,70;;;;;;;;;;;
11/01/2012;0,00;0,36;9,12;0,43;;;;;;;;;;;
12/01/2012;4,26;0,26;2,44;0,56;;;;;;;;;;;
13/01/2012;0,86;0,30;0,00;0,98;;;;;;;;;;;
14/01/2012;0,00;0,37;0,00;0,52;;;;;;;;;;;
15/01/2012;0,00;0,37;2,15;0,83;;;;;;;;;;;
16/01/2012;0,00;0,97;0,29;1,02;;;;;;;;;;;
17/01/2012;0,00;0,99;0,00;0,34;;;;;;;;;;;
18/01/2012;4,46;0,60;1,00;0,53;;;;;;;;;;;
19/01/2012;51,00;0,25;1,71;1,18;;;;;;;;;;;
20/01/2012;10,24;0,23;0,05;0,50;;;;;;;;;;;
21/01/2012;20,25;0,38;3,37;0,51;;;;;;;;;;;
22/01/2012;3,73;0,78;0,34;0,52;;;;;;;;;;;
23/01/2012;8,49;0,42;0,78;1,29;;;;;;;;;;;
24/01/2012;1,08;0,26;0,00;1,00;;;;;;;;;;;
25/01/2012;0,00;0,33;0,54;1,42;;;;;;;;;;;
26/01/2012;2,37;0,35;1,22;0,77;;;;;;;;;;;
27/01/2012;0,00;0,54;10,44;0,73;;;;;;;;;;;
28/01/2012;0,00;0,41;11,17;0,47;;;;;;;;;;;
29/01/2012;0,00;0,26;5,41;1,26;;;;;;;;;;;
30/01/2012;5,19;0,15;9,22;0,81;;;;;;;;;;;
31/01/2012;0,41;0,35;15,66;1,10;;;;;;;;;;;
01/02/2012;0,00;0,56;3,90;1,05;;;;;;;;;;;
02/02/2012;0,00;0,58;3,71;0,92;;;;;;;;;;;
03/02/2012;0,00;0,49;4,29;0,52;;;;;;;;;;;
04/02/2012;0,00;0,52;4,93;0,70;;;;;;;;;;;
05/02/2012;0,00;0,70;3,32;0,39;;;;;;;;;;;
06/02/2012;0,00;0,76;9,27;0,84;;;;;;;;;;;
07/02/2012;0,52;0,52;10,98;1,35;;;;;;;;;;;
08/02/2012;0,00;0,42;6,10;1,04;;;;;;;;;;;
09/02/2012;0,29;0,30;13,71;1,16;;;;;;;;;;;
10/02/2012;0,00;0,59;3,51;1,46;;;;;;;;;;;
11/02/2012;0,00;0,55;10,29;1,11;;;;;;;;;;;
12/02/2012;0,00;0,78;5,71;1,60;;;;;;;;;;;
13/02/2012;2,05;0,22;3,76;0,76;;;;;;;;;;;
14/02/2012;9,11;0,26;2,15;0,93;;;;;;;;;;;
15/02/2012;7,16;0,27;9,41;1,30;;;;;;;;;;;
16/02/2012;2,26;0,35;3,80;0,65;;;;;;;;;;;
17/02/2012;0,86;0,34;6,29;0,76;;;;;;;;;;;
18/02/2012;7,67;0,27;2,10;0,63;;;;;;;;;;;
19/02/2012;8,19;0,40;0,00;0,61;;;;;;;;;;;
20/02/2012;0,00;0,79;11,95;1,15;;;;;;;;;;;
21/02/2012;0,00;0,75;0,49;0,76;;;;;;;;;;;
22/02/2012;0,00;1,33;0,54;0,94;;;;;;;;;;;
23/02/2012;3,73;0,37;5,41;0,97;;;;;;;;;;;
24/02/2012;1,30;0,39;3,61;1,89;;;;;;;;;;;
25/02/2012;0,86;0,68;2,05;0,92;;;;;;;;;;;
26/02/2012;17,00;0,26;18,05;0,97;;;;;;;;;;;
27/02/2012;0,00;0,79;5,90;1,53;;;;;;;;;;;
28/02/2012;0,41;0,40;2,54;1,00;;;;;;;;;;;
29/02/2012;0,00;0,59;2,88;1,00;;;;;;;;;;;
01/03/2012;0,00;1,64;11,80;0,88;;;;;;;;;;;
02/03/2012;0,00;0,55;8,34;1,48;;;;;;;;;;;
03/03/2012;0,17;0,47;0,88;2,11;;;;;;;;;;;
04/03/2012;14,00;0,36;0,68;1,03;;;;;;;;;;;
05/03/2012;2,89;0,40;8,88;1,17;;;;;;;;;;;
06/03/2012;1,51;0,55;7,07;0,94;;;;;;;;;;;
07/03/2012;13,21;0,56;7,02;0,71;;;;;;;;;;;
08/03/2012;0,17;0,61;5,32;0,89;;;;;;;;;;;
09/03/2012;0,00;1,29;4,34;1,14;;;;;;;;;;;
10/03/2012;2,05;0,44;1,71;0,90;;;;;;;;;;;
11/03/2012;0,86;0,67;0,29;1,18;;;;;;;;;;;
12/03/2012;0,00;1,23;4,34;1,03;;;;;;;;;;;
13/03/2012;0,00;0,35;3,71;0,82;;;;;;;;;;;
14/03/2012;0,00;1,53;1,85;1,43;;;;;;;;;;;
15/03/2012;0,00;3,52;1,66;1,03;;;;;;;;;;;
16/03/2012;0,00;3,77;1,27;0,98;;;;;;;;;;;
17/03/2012;0,00;1,89;1,85;0,98;;;;;;;;;;;
18/03/2012;4,26;0,60;0,59;1,34;;;;;;;;;;;
19/03/2012;0,00;1,70;0,05;1,41;;;;;;;;;;;
20/03/2012;0,00;2,23;2,93;1,20;;;;;;;;;;;
21/03/2012;0,00;2,61;0,15;0,98;;;;;;;;;;;
22/03/2012;0,00;3,29;0,00;1,36;;;;;;;;;;;
23/03/2012;0,00;2,95;4,83;1,97;;;;;;;;;;;
24/03/2012;0,00;2,81;5,27;1,14;;;;;;;;;;;
25/03/2012;0,00;2,93;0,98;1,77;;;;;;;;;;;
26/03/2012;0,00;3,26;1,46;1,12;;;;;;;;;;;
27/03/2012;0,00;2,88;0,00;1,94;;;;;;;;;;;
28/03/2012;0,00;3,12;0,15;1,48;;;;;;;;;;;
29/03/2012;0,00;1,99;0,15;1,32;;;;;;;;;;;
30/03/2012;0,97;0,39;0,00;1,31;;;;;;;;;;;
31/03/2012;0,64;0,41;2,78;1,51;;;;;;;;;;;
01/04/2012;0,00;2,47;2,15;1,50;;;;;;;;;;;
02/04/2012;0,00;2,27;1,22;1,59;;;;;;;;;;;
03/04/2012;0,86;2,95;0,00;1,19;;;;;;;;;;;
04/04/2012;0,00;0,78;0,00;1,21;;;;;;;;;;;
05/04/2012;0,00;0,41;1,00;1,61;;;;;;;;;;;
06/04/2012;0,00;2,21;1,00;1,98;;;;;;;;;;;
07/04/2012;2,47;0,61;9,66;2,36;;;;;;;;;;;
08/04/2012;0,17;2,25;0,00;1,46;;;;;;;;;;;
09/04/2012;17,09;0,63;1,00;2,15;;;;;;;;;;;
10/04/2012;6,43;0,89;0,78;2,03;;;;;;;;;;;
11/04/2012;0,17;1,86;3,22;2,14;;;;;;;;;;;
12/04/2012;2,68;1,24;0,20;1,36;;;;;;;;;;;
13/04/2012;0,00;1,29;0,00;1,64;;;;;;;;;;;
14/04/2012;0,00;1,34;0,00;1,79;;;;;;;;;;;
15/04/2012;2,37;0,31;1,00;2,29;;;;;;;;;;;
16/04/2012;0,00;1,48;1,00;1,91;;;;;;;;;;;
17/04/2012;3,52;2,13;1,00;1,95;;;;;;;;;;;
18/04/2012;2,58;1,51;0,10;1,85;;;;;;;;;;;
19/04/2012;7,36;1,53;8,24;2,46;;;;;;;;;;;
20/04/2012;0,75;1,74;4,68;2,45;;;;;;;;;;;
21/04/2012;10,24;1,35;0,93;2,29;;;;;;;;;;;
22/04/2012;7,77;1,59;0,24;2,41;;;;;;;;;;;
23/04/2012;1,73;1,91;1,37;2,45;;;;;;;;;;;
24/04/2012;5,09;0,93;1,46;2,24;;;;;;;;;;;
25/04/2012;9,01;1,22;0,39;2,59;;;;;;;;;;;
26/04/2012;7,16;1,46;7,51;1,35;;;;;;;;;;;
27/04/2012;7,47;1,99;0,78;1,82;;;;;;;;;;;
28/04/2012;0,52;4,02;0,00;2,07;;;;;;;;;;;
29/04/2012;0,00;2,92;1,41;2,96;;;;;;;;;;;
30/04/2012;0,00;3,12;0,00;2,60;;;;;;;;;;;
01/05/2012;0,57;3,14;0,00;2,89;;;;;;;;;;;
02/05/2012;9,26;1,03;2,00;3,54;;;;;;;;;;;
03/05/2012;0,00;1,21;3,00;4,55;;;;;;;;;;;
04/05/2012;14,36;2,64;0,00;3,20;;;;;;;;;;;
05/05/2012;9,05;0,58;2,00;3,35;;;;;;;;;;;
06/05/2012;8,03;0,60;0,68;3,43;;;;;;;;;;;
07/05/2012;0,00;1,69;0,00;3,20;;;;;;;;;;;
08/05/2012;0,20;3,42;2,00;3,88;;;;;;;;;;;
09/05/2012;4,10;1,91;2,00;4,39;;;;;;;;;;;
10/05/2012;0,20;3,48;2,00;4,25;;;;;;;;;;;
11/05/2012;2,53;1,85;1,00;4,30;;;;;;;;;;;
12/05/2012;0,00;1,79;1,00;4,25;;;;;;;;;;;
13/05/2012;0,00;3,26;0,00;3,29;;;;;;;;;;;
14/05/2012;0,00;4,23;2,00;4,35;;;;;;;;;;;
15/05/2012;9,05;1,80;5,37;4,13;;;;;;;;;;;
16/05/2012;3,06;1,86;1,71;3,28;;;;;;;;;;;
17/05/2012;0,00;3,95;3,66;2,88;;;;;;;;;;;
18/05/2012;1,89;2,08;3,07;2,12;;;;;;;;;;;
19/05/2012;0,00;2,96;1,00;2,29;;;;;;;;;;;
20/05/2012;22,79;2,33;0,24;2,86;;;;;;;;;;;
21/05/2012;0,33;2,41;0,73;2,27;;;;;;;;;;;
22/05/2012;0,00;4,27;3,37;2,86;;;;;;;;;;;
23/05/2012;0,00;4,15;6,44;2,37;;;;;;;;;;;
24/05/2012;0,00;4,93;1,46;2,49;;;;;;;;;;;
25/05/2012;0,00;5,67;1,41;2,74;;;;;;;;;;;
26/05/2012;0,00;5,78;6,59;2,73;;;;;;;;;;;
27/05/2012;0,00;4,37;1,00;3,03;;;;;;;;;;;
